assembly_accession	marker	protein_accession	mapping	candidate_count	sequence_sha256	original_header
GCF_002970915.1	ATP-synt_B	WP_105451297.1	unique_exact_sequence	1	93275da3fb0f9e9c7f7d4178d81826fed525f88988345881b7466d32fd9dc65c	WP_105451297.1 F0F1 ATP synthase subunit B [Lactiplantibacillus koreensis]
GCF_000468955.1	ATP-synt_B	WP_010906128.1	unique_exact_sequence	1	7d1a9deb00d16144e9ea5fa90fa4490daa6b740621f909d32ce5f649d67adb59	WP_010906128.1 MULTISPECIES: F0F1 ATP synthase subunit B [Lactococcus]
GCF_903886475.1	ATP-synt_DE_N	WP_011226938.1	unique_exact_sequence	1	8996e2624b2fc2dfa1258f3a953f8e7152936370b16934f2d7cc42aa32a23351	WP_011226938.1 F0F1 ATP synthase subunit epsilon [Streptococcus thermophilus]
GCF_002970915.1	ATP-synt_DE_N	WP_105448800.1	unique_exact_sequence	1	e6ee88df533a479324ef2b4d3613ec7412542e7bfe569a0cb6c800af203632d4	WP_105448800.1 MULTISPECIES: F0F1 ATP synthase subunit epsilon [Lactiplantibacillus]
GCF_000468955.1	ATP-synt_DE_N	WP_011676764.1	unique_exact_sequence	1	87819934c577cc006c77b92d823130db070a5b5a4e3d96f714c5f9de983db83e	WP_011676764.1 MULTISPECIES: F0F1 ATP synthase subunit epsilon [Lactococcus]
GCF_903886475.1	ATP-synt	WP_002949964.1	unique_exact_sequence	1	b0aa111d7ddec2b31b992578c78d4a7732324c3ee70170c38b32cca6705dc964	WP_002949964.1 MULTISPECIES: F0F1 ATP synthase subunit gamma [Streptococcus]
GCF_002970915.1	ATP-synt	WP_105451295.1	unique_exact_sequence	1	92541425d77ec12c056e2d681e2ff97ae431eb1dc54cacf611d38af8795376a7	WP_105451295.1 F0F1 ATP synthase subunit gamma [Lactiplantibacillus koreensis]
GCF_000468955.1	ATP-synt	WP_011676766.1	unique_exact_sequence	1	937087a1175d7bb2ac243b301cabec35b6ccb553c1ba940c9fb3615ee2e26b6b	WP_011676766.1 MULTISPECIES: F0F1 ATP synthase subunit gamma [Lactococcus]
GCF_903886475.1	ATP_bind_2	WP_011225838.1	unique_exact_sequence	1	b28739dcb0dc37b3b42992712e8cad20f0dab7322bbc401cae1ccb6eabbf2617	WP_011225838.1 MULTISPECIES: RNase adapter RapZ [Lactobacillales]
GCF_002970915.1	ATP_bind_2	WP_105452382.1	unique_exact_sequence	1	43035548fd38300909aa0c0f74a13fae901375c99545d1ce6e4fdb26a2ca4a02	WP_105452382.1 RNase adapter RapZ [Lactiplantibacillus koreensis]
GCF_000468955.1	ATP_bind_2	WP_011675972.1	unique_exact_sequence	1	ff71e64caa17062d0693c121cd23f9c20725c377269cc87a111339bf4aabee16	WP_011675972.1 MULTISPECIES: RNase adapter RapZ [Lactococcus]
GCF_903886475.1	Adenylsucc_synt	WP_002948622.1	unique_exact_sequence	1	2924111eadc68b9eb44fb7b4885dc3207126e4eea37991d65ec09f9956a30504	WP_002948622.1 adenylosuccinate synthase [Streptococcus thermophilus]
GCF_002970915.1	Adenylsucc_synt	WP_105451764.1	unique_exact_sequence	1	ec878c6370778051f2a0961fe1b8882ddcd79d404a59511a38fe12cd5f6e25fe	WP_105451764.1 adenylosuccinate synthase [Lactiplantibacillus koreensis]
GCF_000468955.1	Adenylsucc_synt	WP_011677000.1	unique_exact_sequence	1	74ca6cd04e938b6ef41456b920494c48fecd2f50d85d57ce392dd754b8c45f90	WP_011677000.1 adenylosuccinate synthase [Lactococcus cremoris]
GCF_903886475.1	CTP_transf_1	WP_002949317.1	unique_exact_sequence	1	e1cf44cef67bf75481424dc5f7f9fb2af5e867f108666dc2586751e92b2fdede	WP_002949317.1 phosphatidate cytidylyltransferase [Streptococcus thermophilus]
GCF_002970915.1	CTP_transf_1	WP_105450984.1	unique_exact_sequence	1	99c242c2fd757b9591149ae1492c2b108a057408e7b20a973d6e69e8b941056f	WP_105450984.1 phosphatidate cytidylyltransferase [Lactiplantibacillus koreensis]
GCF_000468955.1	CTP_transf_1	WP_011677190.1	unique_exact_sequence	1	ded65554e6fda3bfde775f4a797981ecdfd0e8d616fec9dd57c91a2b11c89b7c	WP_011677190.1 MULTISPECIES: phosphatidate cytidylyltransferase [Lactococcus]
GCF_903886475.1	Cpn10	WP_002949332.1	unique_exact_sequence	1	3e56a1d08bee4fa68eeef49bcbb14824d6de8360324f1b4cb783f3af568b95e3	WP_002949332.1 co-chaperone GroES [Streptococcus thermophilus]
GCF_002970915.1	Cpn10	WP_105452345.1	unique_exact_sequence	1	2abf2e4a33f80951a03ce9ab95b50098f4a7f7fdb4dd5d8b521f545aa176599c	WP_105452345.1 co-chaperone GroES [Lactiplantibacillus koreensis]
GCF_000468955.1	Cpn10	WP_011834459.1	unique_exact_sequence	1	5feb079a28d5d66d80224a8542707482933dd22a10e3d84cbfaf3a4e7e6bcd5e	WP_011834459.1 MULTISPECIES: co-chaperone GroES [Lactococcus]
GCF_903886475.1	Cpn60_TCP1	WP_011225399.1	unique_exact_sequence	1	ab73505b724fe83cec1ff9f8863363b70875bf59a33fd9da3e9f12eec90fdd7f	WP_011225399.1 MULTISPECIES: chaperonin GroEL [Streptococcus]
GCF_002970915.1	Cpn60_TCP1	WP_105452346.1	unique_exact_sequence	1	0ccaf2d036136e38f26081515a085127b1e569ff29f6f5e185c296f0abc64885	WP_105452346.1 chaperonin GroEL [Lactiplantibacillus koreensis]
GCF_000468955.1	Cpn60_TCP1	WP_011675465.1	unique_exact_sequence	1	65d58eff88f060af0286e6393ab3147dba3ba04ca6423ed991540e3ebde9288c	WP_011675465.1 chaperonin GroEL [Lactococcus cremoris]
GCF_903886475.1	Cytidylate_kin2	WP_002950906.1	unique_exact_sequence	1	bc32cf4d08176abcd832fa5bd9995cc4cc0bbb3f3c0a750d7cea3f525a12dff0	WP_002950906.1 (d)CMP kinase [Streptococcus thermophilus]
GCF_002970915.1	Cytidylate_kin2	WP_105450861.1	unique_exact_sequence	1	7194de67f0c0409ce9aa67a57000c9dc0e46a9448ae8dd0bf66f3ee17f733c7d	WP_105450861.1 (d)CMP kinase [Lactobacillus sp. CBA3605]
GCF_000468955.1	Cytidylate_kin2	WP_021037641.1	unique_exact_sequence	1	6e567da406b607bce6bc699bdce21d9e08e50851d606b892db35128729493595	WP_021037641.1 (d)CMP kinase [Lactococcus cremoris]
GCF_903886475.1	DAGK_prokar	WP_011225697.1	unique_exact_sequence	1	7239d65a1366bb89d52b560c42ee4568659fcb3c57d4bac85bbb6038dba86270	WP_011225697.1 diacylglycerol kinase family protein [Streptococcus thermophilus]
GCF_002970915.1	DAGK_prokar	WP_105452817.1	unique_exact_sequence	1	864804c7d5eecb206c38adcec5c985686a8e019fc1608b624f3155e47fc53842	WP_105452817.1 diacylglycerol kinase family protein [Lactobacillus sp. CBA3605]
GCF_000468955.1	DAGK_prokar	WP_011676094.1	unique_exact_sequence	1	f7727d8daf829c164122a0a5b9abdd1733c30fcca11f05eec7f297e192dfd1ef	WP_011676094.1 MULTISPECIES: diacylglycerol kinase family protein [Lactococcus]
GCF_903886475.1	DHOase	WP_011226005.1	unique_exact_sequence	1	fd7f297f53890622c300d42cb3a8814de1e60c57eb26e12bc95a572053283b3e	WP_011226005.1 dihydroorotase [Streptococcus thermophilus]
GCF_002970915.1	DHOase	WP_105451452.1	unique_exact_sequence	1	82e1f237f73fd998b3c04570cde1de07d61cda3b0445feebd8d446ea78789a5f	WP_105451452.1 dihydroorotase [Lactobacillus sp. CBA3605]
GCF_000468955.1	DHOase	WP_021037131.1	unique_exact_sequence	1	766ff546de22cd6cf2618500931b78c2c5a1b8561e1ec9061b04decac0141c45	WP_021037131.1 dihydroorotase [Lactococcus cremoris]
GCF_903886475.1	DNA_pol3_delta	WP_002946639.1	unique_exact_sequence	1	829cf69946a35613b4f81fc87c9a8c86668dd9b31b8610c4ef392896de894681	WP_002946639.1 DNA polymerase III subunit delta [Streptococcus thermophilus]
GCF_002970915.1	DNA_pol3_delta	WP_105451107.1	unique_exact_sequence	1	a1ed31a5601bacf4bad57215512511d5983ca304db1654c2226d466a93def76f	WP_105451107.1 DNA polymerase III subunit delta [Lactiplantibacillus koreensis]
GCF_000468955.1	DNA_pol3_delta	WP_021037601.1	unique_exact_sequence	1	3498a5c30d4e2df2ecdb098af8ca0cc9e8272e1eb4a3afc3f03b0cf118e85e69	WP_021037601.1 DNA polymerase III subunit delta [Lactococcus cremoris]
GCF_903886475.1	DNA_processg_A	WP_011225887.1	unique_exact_sequence	1	be041f263724e4f6d38441b740219d479e887c47c4dd44f7695dced5613057bd	WP_011225887.1 DNA-processing protein DprA [Streptococcus thermophilus]
GCF_002970915.1	DNA_processg_A	WP_105450829.1	unique_exact_sequence	1	6c9503dc2d656c4a2a21c66fe56a65a177d533d9e1ef9dbc95f2f3613fadab61	WP_105450829.1 DNA-processing protein DprA [Lactiplantibacillus koreensis]
GCF_000468955.1	DNA_processg_A	WP_021037268.1	unique_exact_sequence	1	095b3718329476b72da3cc887487572522c25b1bd3d5fc2c3feed41c580870ce	WP_021037268.1 DNA-processing protein DprA [Lactococcus cremoris]
GCF_903886475.1	DUF1934	WP_002953113.1	unique_exact_sequence	1	6a0fd671178ea433637c3fac6e54e22447fd1474990c1dfadd36c65cf41cbc02	WP_002953113.1 MULTISPECIES: DUF1934 domain-containing protein [Streptococcus]
GCF_002970915.1	DUF1934	WP_105452250.1	unique_exact_sequence	1	cf5fcade2c5bdf8c85d41ff216c63abb5607d74c698847190c34323605e9f2e7	WP_105452250.1 YwiB family protein [Lactobacillus sp. CBA3605]
GCF_000468955.1	DUF1934	WP_011835340.1	unique_exact_sequence	1	bc69a7cb957672fed81805b709efd6f6b6659aad7beb312496d32d9bbe9fd7e3	WP_011835340.1 MULTISPECIES: YwiB family protein [Lactococcus]
GCF_903886475.1	DUF448	WP_002947461.1	unique_exact_sequence	1	14d2134f0957f1fa6350df6453b8c5b342c293d67ad4e2efa0413a30f49e35a8	WP_002947461.1 MULTISPECIES: RNase P modulator RnpM [Streptococcus]
GCF_002970915.1	DUF448	WP_105450972.1	unique_exact_sequence	1	31bc7e5371d245535ee56937c3b5687eafe3b6ee53108adc176de5e7eab80004	WP_105450972.1 RNase P modulator RnpM [Lactiplantibacillus koreensis]
GCF_000468955.1	DUF448	WP_011675735.1	unique_exact_sequence	1	adcb469e0c61404fb2a1b7b7987a5684d9abf2000154ce24de28a5b8b7ab6d78	WP_011675735.1 MULTISPECIES: RNase P modulator RnpM [Lactococcus]
GCF_903886475.1	DUF951	WP_002886272.1	unique_exact_sequence	1	b2446e1b2ddfc6db7fb959e30b8d2c0780a4c0a66a97838b504be06bed288373	WP_002886272.1 MULTISPECIES: DUF951 domain-containing protein [Streptococcus]
GCF_002970915.1	DUF951	WP_105449229.1	unique_exact_sequence	1	674a30d04ee9265eeedf09ada200b331d6165155e8bb2e66c847afb40faa9922	WP_105449229.1 MULTISPECIES: DUF951 domain-containing protein [Lactiplantibacillus]
GCF_000468955.1	DUF951	WP_021036496.1	unique_exact_sequence	1	2a2a89b4aab56060eaf0d68d7a6b22fb23343826529ca75f03c1937a2880f58c	WP_021036496.1 DUF951 domain-containing protein [Lactococcus cremoris]
GCF_903886475.1	DnaJ_C	WP_002946937.1	unique_exact_sequence	1	8e53ca1a238ca726fca77ee025c66e348de8d5f5487b1dc93c469715a14182f5	WP_002946937.1 molecular chaperone DnaJ [Streptococcus thermophilus]
GCF_002970915.1	DnaJ_C	WP_105448532.1	unique_exact_sequence	1	874b689c0fc2eb2457a69ab7ce960dc2500b9fa56d41869ad7cee93ac28d0815	WP_105448532.1 MULTISPECIES: molecular chaperone DnaJ [Lactiplantibacillus]
GCF_000468955.1	DnaJ_C	WP_011836127.1	unique_exact_sequence	1	d810baef4f9ef2898c9ae28a0ab7d15a2a701f04a3cf60e146775eac4bb6c4e2	WP_011836127.1 molecular chaperone DnaJ [Lactococcus cremoris]
GCF_903886475.1	EF_TS	WP_002949105.1	unique_exact_sequence	1	0fcaa3f7b16b23b6bcddb5b739882bc088cc1a95341cece0eea9699bdf5a8fe1	WP_002949105.1 MULTISPECIES: translation elongation factor Ts [Streptococcus]
GCF_002970915.1	EF_TS	WP_105448551.1	unique_exact_sequence	1	0bea2c37da1c78024d561ce729737676da9aff3facc50c920dc15a29c8767344	WP_105448551.1 MULTISPECIES: translation elongation factor Ts [Lactiplantibacillus]
GCF_000468955.1	EF_TS	WP_011677206.1	unique_exact_sequence	1	f44af382edf1d8aa2c652fdfe5ee01f9c8771356e7df67f7fc7153516a1d418f	WP_011677206.1 translation elongation factor Ts [Lactococcus cremoris]
GCF_903886475.1	Exonuc_VII_L	WP_011226129.1	unique_exact_sequence	1	d8303936c6ee16d3320f819f657167f7d4f96579c2852a7a81f3746392932280	WP_011226129.1 MULTISPECIES: exodeoxyribonuclease VII large subunit [Streptococcus]
GCF_002970915.1	Exonuc_VII_L	WP_105450564.1	unique_exact_sequence	1	fec57e55ec666e1dd4e095be6f80b0f52b10f4e51fe338e76bff2476c69f1ebb	WP_105450564.1 exodeoxyribonuclease VII large subunit [Lactiplantibacillus koreensis]
GCF_000468955.1	Exonuc_VII_L	WP_021037000.1	unique_exact_sequence	1	9e5b40a0fc702bcc3c43a4361bbf6ce628b36c80cfb06ab349987d399b98b9f9	WP_021037000.1 exodeoxyribonuclease VII large subunit [Lactococcus cremoris]
GCF_903886475.1	Exonuc_VII_S	WP_002951008.1	unique_exact_sequence	1	ffa05f73d0cd63044fae4c245ee3a727d94d64e2fb59ae64b0a82a7946fabae6	WP_002951008.1 MULTISPECIES: exodeoxyribonuclease VII small subunit [Streptococcus]
GCF_002970915.1	Exonuc_VII_S	WP_105450566.1	unique_exact_sequence	1	2ff25e5863588d8e2ce89886c90e4ef9c63aaa5fb422e584237270c135a57387	WP_105450566.1 exodeoxyribonuclease VII small subunit [Lactiplantibacillus koreensis]
GCF_000468955.1	Exonuc_VII_S	WP_011835497.1	unique_exact_sequence	1	3e3d3989d402f0b9072c3b160d2fcec8ee9fe20c0b3c1acc32df28fefadc75a5	WP_011835497.1 MULTISPECIES: exodeoxyribonuclease VII small subunit [Lactococcus]
GCF_903886475.1	FA_synthesis	WP_011225258.1	unique_exact_sequence	1	72f729c853b3eec371048ad14962381cd15448ea27a4b5f049d6ea8117fbe5e5	WP_011225258.1 phosphate acyltransferase PlsX [Streptococcus thermophilus]
GCF_002970915.1	FA_synthesis	WP_105450613.1	unique_exact_sequence	1	2803ec899db5b9b6cf64d34f343da77d4a490b1423f53f48974a562de02ba16d	WP_105450613.1 phosphate acyltransferase PlsX [Lactiplantibacillus koreensis]
GCF_000468955.1	FA_synthesis	WP_011834186.1	unique_exact_sequence	1	f3e17f5817ab4754cf8396715b7788474652141d5c4a46bb67cbcdf36b9454c7	WP_011834186.1 phosphate acyltransferase PlsX [Lactococcus cremoris]
GCF_903886475.1	FbpA	WP_002948383.1	unique_exact_sequence	1	f2a0c0eae21a1fc687b2376ec3fee9051e634275c3e589e4135d4d515a9fb6b3	WP_002948383.1 Rqc2 family fibronectin-binding protein [Streptococcus thermophilus]
GCF_000468955.1	FbpA	WP_021037368.1	unique_exact_sequence	1	5acb9458e31e8a84dfd649dc14e7564c318157c2b31180656e635326869fa44c	WP_021037368.1 Rqc2 family fibronectin-binding protein [Lactococcus cremoris]
GCF_903886475.1	GatB_N	WP_002946582.1	unique_exact_sequence	1	70cd19c1a6b99908111b7686ab36930019007054aeaeb5946ac911f90636f03d	WP_002946582.1 Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB [Streptococcus thermophilus]
GCF_002970915.1	GatB_N	WP_105452567.1	unique_exact_sequence	1	cf4b36ea816b9b425d42f132abdd38b4f6def7d37815c26333ceb5e695012b1a	WP_105452567.1 Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB [Lactobacillus sp. CBA3605]
GCF_000468955.1	GatB_N	WP_021036582.1	unique_exact_sequence	1	6ad725f01ad32c709af49ed961645ba7a1ce03bad392c1e328eb4e68d5b8d511	WP_021036582.1 Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB [Lactococcus cremoris]
GCF_903886475.1	Glu-tRNAGln	WP_002884769.1	unique_exact_sequence	1	12f94c8641b50c67e25a78c002f2b93585e177a53f5f2beb5bce75f6769d7391	WP_002884769.1 MULTISPECIES: Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC [Bacillota]
GCF_002970915.1	Glu-tRNAGln	WP_105452565.1	unique_exact_sequence	1	56f60fe65f54fe69d063c61411f56cfff068a7cd567cfe793a947cc39410c76b	WP_105452565.1 Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC [Lactiplantibacillus koreensis]
GCF_000468955.1	Glu-tRNAGln	WP_011675221.1	unique_exact_sequence	1	c7139469df50e7fb7abcfd2fd0235fc8c32e2e2eb2e971f07645a036bcbb3fd6	WP_011675221.1 MULTISPECIES: Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC [Lactococcus]
GCF_903886475.1	GrpE	WP_041828100.1	unique_exact_sequence	1	8047ba689940f52d2405bca49202280eef6005d839e29fb6eaa2339570644a06	WP_041828100.1 nucleotide exchange factor GrpE [Streptococcus thermophilus]
GCF_002970915.1	GrpE	WP_370447206.1	unique_exact_sequence	1	132c94098ca27d47efb0f51a4dbaffd0d31a1f5763458fe9541e14cac8bf9589	WP_370447206.1 nucleotide exchange factor GrpE [Lactiplantibacillus koreensis]
GCF_000468955.1	GrpE	WP_011835409.1	unique_exact_sequence	1	407e5906611895656648d3ecd015ab5aa03e74f7b284feeb2805c030bb9ee327	WP_011835409.1 MULTISPECIES: nucleotide exchange factor GrpE [Lactococcus]
GCF_903886475.1	HSP33	WP_041828113.1	unique_exact_sequence	1	be93904399bfded8c9cb7d9f71cf8a206fe06ea2560ce0e5c6e682bf691d0aeb	WP_041828113.1 Hsp33 family molecular chaperone HslO [Streptococcus thermophilus]
GCF_002970915.1	HSP33	WP_105452278.1	unique_exact_sequence	1	fcae53af518fa46b614659ed0c609353a6ecaa62bfc3e588a7c8bd43cda5d256	WP_105452278.1 Hsp33 family molecular chaperone HslO [Lactiplantibacillus koreensis]
GCF_000468955.1	HSP33	WP_021037860.1	unique_exact_sequence	1	8edbdd02b2a03de172efec3bd420bd808324e28bea76df6b864fdc074906501b	WP_021037860.1 Hsp33 family molecular chaperone HslO [Lactococcus cremoris]
GCF_903886475.1	Hpr_kinase_C	WP_011227035.1	unique_exact_sequence	1	17e41e9502dcc98a9dc82ac107bc623da62b2413875e62888381c03655b20982	WP_011227035.1 HPr(Ser) kinase/phosphatase [Streptococcus thermophilus]
GCF_002970915.1	Hpr_kinase_C	WP_105449909.1	unique_exact_sequence	1	51d0cc774afe06348051c2e1c4f28c7d3e1fde21ec5f64f63e2e2e6f83dbb5ca	WP_105449909.1 MULTISPECIES: HPr(Ser) kinase/phosphatase [Lactiplantibacillus]
GCF_000468955.1	Hpr_kinase_C	WP_011834603.1	unique_exact_sequence	1	07762446ad906e128bdd8cbcc111878bb459478b2e7a7f365f0179cf476bc92f	WP_011834603.1 MULTISPECIES: HPr(Ser) kinase/phosphatase [Lactococcus]
GCF_903886475.1	HrcA	WP_011225328.1	unique_exact_sequence	1	cc73a1ef97b0eece39f64a0ea6d1f8229733f9d0fd04f456e0c9f60fb5a0e6f9	WP_011225328.1 MULTISPECIES: heat-inducible transcriptional repressor HrcA [Streptococcus]
GCF_002970915.1	HrcA	WP_105450959.1	unique_exact_sequence	1	fcf5dbecb9f7299108e3cf2c97b547be1278134babbd19aacdc51154ff66f692	WP_105450959.1 heat-inducible transcriptional repressor HrcA [Lactiplantibacillus koreensis]
GCF_000468955.1	HrcA	WP_021037090.1	unique_exact_sequence	1	d805dd7e9d4e7229605481c4584d88a8de69f7dad35b130e7c3ded3689d6e800	WP_021037090.1 heat-inducible transcriptional repressor HrcA [Lactococcus cremoris]
GCF_903886475.1	IPPT	WP_041828380.1	unique_exact_sequence	1	429d89020e0aa961f2fc4d31d98962977645bb9f4f600b58cc95b37837364380	WP_041828380.1 tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA [Streptococcus thermophilus]
GCF_002970915.1	IPPT	WP_105452775.1	unique_exact_sequence	1	92699f7e39f11733ad1390557bef7ffbcd090572b5f380659d81578dc3de3bcc	WP_105452775.1 tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA [Lactiplantibacillus koreensis]
GCF_000468955.1	IPPT	WP_021036836.1	unique_exact_sequence	1	b8fe7df69ba0797b98b49dcb4da174f34e9161b32f66bc3469272dea64ccd3af	WP_021036836.1 tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA [Lactococcus cremoris]
GCF_903886475.1	IPT	WP_041828380.1	unique_exact_sequence	1	429d89020e0aa961f2fc4d31d98962977645bb9f4f600b58cc95b37837364380	WP_041828380.1 tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA [Streptococcus thermophilus]
GCF_002970915.1	IPT	WP_105452775.1	unique_exact_sequence	1	92699f7e39f11733ad1390557bef7ffbcd090572b5f380659d81578dc3de3bcc	WP_105452775.1 tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA [Lactiplantibacillus koreensis]
GCF_000468955.1	IPT	WP_021036836.1	unique_exact_sequence	1	b8fe7df69ba0797b98b49dcb4da174f34e9161b32f66bc3469272dea64ccd3af	WP_021036836.1 tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA [Lactococcus cremoris]
GCF_903886475.1	IreB	WP_002952186.1	unique_exact_sequence	1	deac0ccab0bc0311bbe326797a3629eac265ce13f68f4f6d5680c683dbea755a	WP_002952186.1 MULTISPECIES: IreB family regulatory phosphoprotein [Streptococcus]
GCF_002970915.1	IreB	WP_105448732.1	unique_exact_sequence	1	3fa79f14a3ff577e7c8c033c62cf14cd8fef9749d62d1b5424591d2763c5eade	WP_105448732.1 MULTISPECIES: IreB family regulatory phosphoprotein [Lactiplantibacillus]
GCF_000468955.1	IreB	WP_003131820.1	unique_exact_sequence	1	f1c14e8645f83767e0c9fffe1319a62af7f386628ff22e384707202d950c9801	WP_003131820.1 MULTISPECIES: IreB family regulatory phosphoprotein [Bacillati]
GCF_903886475.1	Methyltrans_RNA	WP_011225344.1	unique_exact_sequence	1	1c56a11a524483aba936cddf2223fb106107de36e1efa639547eb80439dd80fe	WP_011225344.1 16S rRNA (uracil(1498)-N(3))-methyltransferase [Streptococcus thermophilus]
GCF_002970915.1	Methyltrans_RNA	WP_105450936.1	unique_exact_sequence	1	e4ec536dfbe15400bc0600eaef83fc872295db093b1ba73e99e2f7c6ef85ba6c	WP_105450936.1 16S rRNA (uracil(1498)-N(3))-methyltransferase [Lactiplantibacillus koreensis]
GCF_000468955.1	Methyltrans_RNA	WP_011675154.1	unique_exact_sequence	1	b9fcaf8b0f6fe3fb3358ea49016e1cace9cdbb45bac8faabea7ad262121ccf66	WP_011675154.1 16S rRNA (uracil(1498)-N(3))-methyltransferase [Lactococcus cremoris]
GCF_903886475.1	MnmE_helical	WP_011225954.1	unique_exact_sequence	1	50e8d8c915ffd766024b9451e21071fd99253e58aa10632ef54ff2824b1eb15a	WP_011225954.1 tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE [Streptococcus thermophilus]
GCF_002970915.1	MnmE_helical	WP_105451962.1	unique_exact_sequence	1	1045c13e0ca3dce050e84f3482384cb9d80cc078879b1084151b0af0ec0e6343	WP_105451962.1 tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE [Lactiplantibacillus koreensis]
GCF_000468955.1	MnmE_helical	WP_021038022.1	unique_exact_sequence	1	1fd611fd47a799f25865ddc33d6d5114b8dcb0e110c50c3aeaaf334e4d8ba802	WP_021038022.1 tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE [Lactococcus cremoris]
GCF_903886475.1	MreC	WP_011225251.1	unique_exact_sequence	1	9ecfd3473312816e543587379a8feb00f5241f496dfc7d62035d0538309c3424	WP_011225251.1 rod shape-determining protein MreC [Streptococcus thermophilus]
